ctdprs	ctdprs_flag	ctdtmp	ctdtmp_flag	ctdsal	ctdsal_flag	salnty	salnty_flag	theta	theta_flag	ctdoxy	ctdoxy_flag	oxygen	oxygen_flag	lon	lat	cfc11	cfc11_flag	cfc12	cfc12_flag	cfc113	cfc113_flag	ccl4	ccl4_flag	nitrat	nitrat_flag	phspht	phspht_flag	silcat	silcat_flag	helium	heliumer	delhe3	neon	neoner	tritium	sigtritium	helium_flag	heliumer_flag	delhe3_flag	neon_flag	neoner_flag	tritium_flag	sigtritium_flag	tcarbn	alkali	ph	phtemp	
   752.4     2.0     8.4     2.0    34.6     2.0    34.6     2.0     8.4     2.0   222.3     2.0   221.2     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    20.7     2.0     1.4     2.0    10.5     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.8    25.0
   653.1     2.0     9.5     2.0    34.7     2.0    34.7     2.0     9.4     2.0   235.8     2.0   237.6     2.0    83.2   -31.2     3.3     2.0     1.7     2.0     0.1     2.0     NaN     9.0    16.5     2.0     1.1     2.0     6.8     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.8    25.0
   552.9     2.0    10.2     2.0    34.8     2.0    34.8     2.0    10.2     2.0   236.7     2.0   235.3     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    14.5     2.0     1.0     2.0     6.2     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.8    25.0
   452.0     2.0    10.9     2.0    34.9     2.0    34.9     2.0    10.9     2.0   239.9     2.0   239.3     2.0    83.2   -31.2     3.4     2.0     1.8     2.0     0.1     2.0     NaN     9.0    12.1     2.0     0.9     2.0     5.3     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.8    25.0
   353.7     2.0    11.6     2.0    35.1     2.0    35.1     2.0    11.6     2.0   239.8     2.0   238.5     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0    10.7     2.0     0.8     2.0     5.2     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.9    25.0
   249.2     2.0    12.5     2.0    35.2     2.0    35.2     2.0    12.5     2.0   236.0     2.0   234.4     2.0    83.2   -31.2     3.2     2.0     1.8     2.0     0.1     2.0     NaN     9.0     8.7     2.0     0.7     2.0     4.5     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     7.9    25.0
   116.9     2.0    15.6     2.0    35.6     2.0     NaN     9.0    15.6     2.0   238.9     2.0     NaN     9.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     NaN     NaN
    74.6     2.0    17.6     2.0    35.8     2.0    35.8     2.0    17.6     2.0   249.8     2.0   213.6     2.0    83.2   -31.2     2.6     6.0     1.5     6.0     0.2     6.0     NaN     9.0     0.1     2.0     0.1     2.0     3.2     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     8.0    25.0
    39.6     2.0    21.3     2.0    35.9     2.0    35.9     2.0    21.3     2.0   224.6     2.0   251.1     2.0    83.2   -31.2     NaN     9.0     NaN     9.0     NaN     9.0     NaN     9.0     0.1     2.0     0.1     2.0     3.3     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     8.0    25.0
     9.4     2.0    21.5     2.0    35.9     2.0    35.9     2.0    21.5     2.0   222.8     2.0   230.1     2.0    83.2   -31.2     2.1     6.0     1.3     6.0     0.2     6.0     NaN     9.0     0.0     2.0     0.1     2.0     3.2     2.0     NaN     NaN     NaN     NaN     NaN     NaN     NaN     9.0     9.0     9.0     9.0     9.0     9.0     9.0     NaN     NaN     8.0    25.0
